deathplaces appears as 1	primary heb full in Kima	times
Łańcut (Poland)	לנצוט (פולין)	2
Lanzarote (Canary Islands)	לנזרוטה (האיים הקנריים)	1
Laren (North Holland, Netherlands)	לארן (צפון הולנד, הולנד)	1
Larisa (Greece)	לריסה (יוון)	1
Lask (Poland)	לאסק (פולין)	6
Lausanne (Switzerland)	לוזאן (שווייץ)	5
Leatherhead (England)	לת'רהד (אנגליה)	1
Lebanon	לבנון	1
Łęczyca (Poland)	לונטשיץ (פולין)	2
Leeds (England)	לידס (אנגליה)	3
Leeuwarden (Netherlands)	ליאווארדן (הולנד)	1
Leicester (England)	לסטר (אנגליה)	1
Leiden (Netherlands)	ליידן (הולנד)	1
Leipzig (Germany)	ליפציג (גרמניה)	17
Lemgo (Germany)	למגו (גרמניה)	1
Leningrad (R.S.F.S.R.)	לנינגראד (רוסיה)	6
Lesko (Poland)	לסקו (פולין)	1
Leszno (Poland)	לשנו (פולין)	10
Letchworth (England)	לצ'וורת' (אנגליה)	1
Levelek (Hungary)	לעוועלעק (הונגריה)	1
Lexington (Mass.)	לקסינגטון (מסצ'וסטס)	1
Leżajsk (Poland)	ליז'נסק (פולין)	6
Liberty (N.Y.)	ליברטי (ניו יורק)	1
Libná (Czech Republic)	ליבנא (צ'כיה)	1
Lida (Belarus)	לידה (בלארוס)	3
Lido (Italy)	לידו (איטליה)	1
Liège (Belgium)	ליאז' (בלגיה)	1
Liepāja (Latvia)	ליפאיה (לטביה)	4
Lier (Belgium)	לייר (בלגיה)	1
Liestal (Switzerland)	ליסטל (שווייץ)	1
Lillehammer (Norway)	לילהאמר (נורבגיה)	1
Lima (Peru)	לימה (פרו)	1
Limanowa (Poland)	לימינוב (פולין)	1
Limpsfield (England)	לימפספילד (אנגליה)	1
Lincoln (Neb.)	לינקולן (נברסקה)	1
Lindheim (Altenstadt, Hesse, Germany)	לינדהיים (אלטנשטדט, הסן, גרמניה)	1
Linz (Austria)	לינץ (אוסטריה)	1
Lipník nad Bečvou (Czech Republic)	ליפניק (צ'כיה)	6
Lipno (Włocławek, Poland)	ליפנו (ולוצלאווק, פולין)	1
Lisbon (Portugal)	ליסבון (פורטוגל)	13
Lithuania	ליטא	1
Li︠u︡bavichi (Russia)	ליובויץ' (רוסיה)	2
Liverpool (England)	ליורפול (אנגליה)	2
Livorno (Italy)	ליוורנו (איטליה)	25
Locarno (Switzerland)	לוקרנו (שווייץ)	4
Lod (Israel)	לוד (ישראל)	2
Łódź (Poland)	לודז' (פולין)	43
Lohame Hageta'ot (Israel)	לוחמי הגטאות (ישראל)	1
Lokachi (Ukraine)	לוקץ' (אוקראינה)	1
Lokhvyt︠s︡i︠a︡ (Ukraine)	לוחביצה (אוקראינה)	1
Lomas de Zamora (Argentina)	לומאס דה זאמורה (ארגנטינה)	1
Łomazy (Poland)	לומז (פולין)	2
Łomża (Poland)	לומזה (פולין)	3
London (England)	לונדון (אנגליה)	271
London (Ont.)	לונדון (אונטריו)	1
Long Beach (Calif.)	לונג ביץ' (קליפורניה)	1
Long Beach (N.Y.)	לונג ביץ' (ניו יורק)	1
Long Branch (N.J.)	לונג ברנץ' (ניו ג'רזי)	1
Long Island (N.Y.)	לונג איילנד (ניו יורק)	1
Los Angeles (Calif.)	לוס אנג'לס (קליפורניה)	97
Louisiana	לואיזיאנה	1
Lourmarin (France)	לורמרין (צרפת)	1
Louveciennes (France)	לובסיאן (צרפת)	1
Łowicz (Poland)	לוביץ' (פולין)	1
Lubaczów (Poland)	לובאצ'וב (פולין)	1
Lübeck (Germany)	ליבק (גרמניה)	2
Lublin (Poland)	לובלין (פולין)	32
Lucca (Italy)	לוקה (איטליה)	2
Lučenec (Slovakia)	לושונץ (סלובקיה)	1
Lucerne (Switzerland)	לוצרן (שווייץ)	2
Ludza (Latvia)	לודזה (לטביה)	2
Lugano (Switzerland)	לוגאנו (שווייץ)	2
Lugo (Italy)	לוגו (איטליה)	2
Luhansʹk (Luhansʹka oblastʹ, Ukraine)	לוגנסק (אוקראינה)	1
Łuków (Siedlce, Poland)	לוקוב (פולין)	1
Lunel (France)	לוניל (צרפת)	1
Lunéville (France)	לינוויל (צרפת)	1
Lutomiersk (Poland)	לוטומיירסק (פולין)	1
Lutowiska (Poland)	לוטוביסקה (פולין)	1
Luxembourg	לוכסמבורג	1
Luzzara (Italy)	לוזרה (איטליה)	1
Lyady (Belarus)	ליאדי (בלארוס)	2
Lyakhavichy (Belarus)	לחוביץ' (בלארוס)	1
Lyck (Germany)	ליק (גרמניה)	2
Lyon (France)	ליון (צרפת)	1
Ma'agan (Israel)	מעגן (ישראל)	1
Ma'ale Hahamisha (Israel)	מעלה החמישה (ישראל)	1
Ma'anit (Israel)	מענית (ישראל)	2
Ma'barot (Israel)	מעברות (ישראל)	3
Ma'oz Hayyim (Israel)	מעוז חיים (ישראל)	1
Mád (Hungary)	מאד (הונגריה)	3
Madanīn (Tunisia)	מדנין (תוניסיה)	1
Madison (Wis.)	מדיסון (ויסקונסין)	3
Madrid (Spain)	מדריד (ספרד)	13
Magdiel (Hod Hasharon, Israel)	מגדיאל (הוד השרון, ישראל)	5
Mahanayim (Israel)	מחניים (ישראל)	1
Mahili︠o︡ŭ (Belarus)	מוהילב (בלארוס)	4
Maine	מיין	1
Mainz (Rhineland-Palatinate, Germany)	מינץ (רינלנד-פלטינט, גרמניה)	1
Makó (Hungary)	מקובה (הונגריה)	5
Malakoff (France)	מלקוף (צרפת)	1
Manchester (England)	מנצ'סטר (אנגליה)	13
Manhattan (New York, N.Y.)	מנהטן (ניו יורק, נ.י.)	16
Mannheim (Germany)	מנהיים (גרמניה)	2
Mantua (Italy)	מנטובה (איטליה)	33
Marblehead (Mass.)	מרבלהד (מסצ'וסטס)	1
Marburg (Germany)	מרבורג (גרמניה)	2
Marghita (Romania)	מרגרטן (רומניה)	2
Marseille (France)	מרסי (צרפת)	6
Marvejols (France)	מארבז'ול (צרפת)	1
Maryland	מרילנד	1
Mashhad (Iran)	משהד (איראן)	1
Massachusetts	מסצ'וסטס	5
Mátészalka (Hungary)	מטסלקה (הונגריה)	1
Mattersburg (Austria)	מטרסדורף (אוסטריה)	6
McKeesport (Pa.)	מקקיספורט (פנסילבניה)	1
Medina (Saudi Arabia)	מדינה (ערב הסעודית)	1
Medz︠h︡ybiz︠h︡ (Ukraine)	מז'יבוז' (אוקראינה)	4
Melbourne (Vic.)	מלבורן (ויקטוריה)	12
Memphis (Tenn.)	ממפיס (טנסי)	1
Menara (Israel)	מנרה (ישראל)	1
Menton (France)	מנטון (צרפת)	2
Merano (Italy)	מראנו (איטליה)	4
Merhavya (Israel)	מרחביה (ישראל)	5
Merkinė (Lithuania)	מרטש (ליטא)	1
Merseburg (Germany)	מרזהבורג (גרמניה)	1
Metula (Israel)	מטולה (ישראל)	1
Metz (France)	מץ (צרפת)	10
Meudon (France)	מודון (צרפת)	1
Mexico City (Mexico)	מקסיקו סיטי (מקסיקו)	19
Mexico	מקסיקו	7
Mezőszilas (Hungary)	סילאש (הונגריה)	2
Miami (Fla.)	מיאמי (פלורידה)	7
Michelstadt (Germany)	מיכלשטט (גרמניה)	1
Michigan	מישיגן	1
Middlesex (England)	מידלסקס (אנגליה)	1
Międzyrzec Podlaski (Poland)	מזריץ' (פולין)	2
Mielec (Poland)	מליץ (פולין)	3
Migdal (Israel)	מגדל (ישראל)	1
Mihăileni (Botoşani, Romania)	מיכאילן (בוטושן, רומניה)	1
Mikhmoret (Israel)	מכמורת (ישראל)	1
Mikulov (Jihomoravský kraj, Czech Republic)	מיקולוב (מורביה הדרומית, צ'כיה)	14
Mikve Yisra'el (Israel)	מקווה ישראל (ישראל)	1
Milan (Italy)	מילנו (איטליה)	11
Miltenberg (Germany)	מילטנברג (גרמניה)	1
Milwaukee (Wis.)	מילווקי (ויסקונסין)	2
Minneapolis (Minn.)	מיניאפוליס (מינסוטה)	3
Minnesota	מינסוטה	1
Minsk (Belarus)	מינסק (בלארוס)	49
Mińsk Mazowiecki (Poland)	מינסק מזובייצקי (פולין)	2
Minusio (Switzerland)	מניוסיו (שווייץ)	1
Mir (Belarus)	מיר (בלארוס)	4
Miseno (Italy)	מיסנו (איטליה)	1
Mishmar Ha'emek (Israel)	משמר העמק (ישראל)	5
Mishmar Hanegev (Israel)	משמר הנגב (ישראל)	2
Mishmar Hasharon (Israel)	משמר השרון (ישראל)	3
Mishmar Hayarden (Israel)	משמר הירדן (ישראל)	1
Mishmarot (Israel)	משמרות (ישראל)	1
Miskolc (Hungary)	מישקולץ (הונגריה)	5
Missouri	מיזורי	2
Mizra (Israel)	מזרע (ישראל)	7
Mladá Boleslav (Czech Republic)	מלאדה בולסלב (צ'כיה)	3
Mlyniv (Ukraine)	מלינוב (אוקראינה)	1
Modena (Italy)	מודנה (איטליה)	10
Mohyliv-Podilʹsʹkyĭ (Ukraine)	מויליב-פודילסקי (אוקראינה)	1
Moisés Ville (Argentina)	מוזסטויל (ארגנטינה)	1
Moledet (Israel)	מולדת (מושב)	3
Monasterzyska (Poland)	מונאסטרישץ' (פולין)	1
Moncalieri (Italy)	מונקאליירי (איטליה)	1
Monroeville (Ala.)	מונרוויל (אלבמה)	1
Monsey (N.Y.)	מונסי (ניו יורק)	3
Montagnana (Italy)	מונטאניאנה (איטליה)	1
Monte-Carlo (Monaco)	מונטה קרלו (מונקו)	2
Montevideo (Uruguay)	מונטווידאו (אורוגוואי)	8
Montmorency (France)	מונמורנסי (צרפת)	1
Montpellier (France)	מונפלייה (צרפת)	2
Montréal (Québec)	מונטריאול (קוויבק)	38
Montreux (Switzerland)	מונטרה (שווייץ)	2
Mór (Hungary)	מור (הונגריה)	2
Morocco	מרוקו	1
Mosbach (Baden-Württemberg, Germany)	מוסבאך (גרמניה)	1
Moscow (Russia)	מוסקבה (רוסיה)	153
Mosul (Iraq)	מוצל (עיראק)	2
Mougins (France)	מוג'ן (צרפת)	1
Mount Kisco (N.Y.)	מאונט קיסקו (ניו יורק)	2
Mstsislaŭ (Belarus)	מסטיסלאו (בלארוס)	2
Mstsislaw (Belarus)	אמסטיסלב (בלארוס)	1
Mukacheve (Ukraine)	מונקטש (אוקראינה)	20
Muknīn (Tunisia)	מוכנין (תוניסיה)	1
Mumbai (India)	מומבאי (הודו)	1
Munich (Germany)	מינכן (גרמניה)	24
Murfreesboro (Tenn.)	מורפריסבורו (טנסי)	1
Mykolaïv (Mykolaïvsʹka oblastʹ, Ukraine)	מיקולייב (מחוז מיקולייב, אוקראינה)	3
Mykulynt︠s︡i (Ukraine)	מיקולינצי (אוקראינה)	1
Na'an (Israel)	נען (ישראל)	9
Nabeul (Tunisia)	נבל (תוניסיה)	1
Nablus (West Bank)	שכם (גדה מערבית)	3
Náchod (Královéhradecký kraj, Czech Republic)	נאחוד (מחוז הראדץ קראלובה, צ'כיה)	2
Nadvirna (Ukraine)	נדבורנה (אוקראינה)	7
Nagykálló (Hungary)	קלוב (הונגריה)	2
Nagykanizsa (Hungary)	נג'קניז'ה (הונגריה)	1
Nahal Oz (Israel)	נחל עוז (ישראל)	1
Nahalal (Israel)	נהלל (ישראל)	8
Nahalat Yits'hak (Tel Aviv-Yafo, Israel)	נחלת יצחק (תל אביב-יפו, ישראל)	4
Nahariyya (Israel)	נהריה (ישראל)	6
Nancy (France)	ננסי (צרפת)	1
Naples (Italy)	נאפולי (איטליה)	11
Narbonne (France)	נרבון (צרפת)	2
Narva (Estonia)	נרבה (אסטוניה)	1
Nasielsk (Poland)	נאשלסק (פולין)	2
Navahrudak (Belarus)	נובהרדוק (בלארוס)	2
Nazareth (Israel)	נצרת (ישראל)	2
Ne'ot Mordekhai (Israel)	נאות מרדכי (ישראל)	2
Negba (Israel)	נגבה (ישראל)	1
Negev (Israel)	נגב (ישראל)	1
Nehalim (Israel)	נחלים (ישראל)	1
Nemakščiai (Lithuania)	נמקשט (ליטא)	2
Nemyriv (Lʹvivsʹka oblastʹ, Ukraine)	נמירוב (אוקראינה)	2
Nes Tsiyyona (Israel)	נס ציונה (ישראל)	5
Nesterov (Kaliningradskai︠a︡ oblastʹ, Russia)	נסטרוב (מחוז קלינינגרד, רוסיה)	3
Netanya (Israel)	נתניה (ישראל)	11
Netherlands	הולנד	2
Netivot (Israel)	נתיבות (ישראל)	3
Netser Sereni (Israel)	נצר סרני (ישראל)	1
Neuilly-sur-Seine (France)	נויי-סור-סן (צרפת)	1
Neve Etan (Israel)	נווה איתן (ישראל)	1
New Britain (Conn.)	ניו בריטן (קונטיקט)	1
New Canaan (Conn.)	ניו כנען (קונטיקט)	1
New Delhi (India)	ניו דלהי (הודו)	1
New Hampshire	ניו המפשיר	1
New Haven (Conn.)	ניו הייבן (קונטיקט)	6
New Jersey	ניו ג'רזי	5
New Orleans (La.)	ניו אורלינס (לואיזיאנה)	4
New Rochelle (N.Y.)	ניו רושל (ניו יורק)	4
New South Wales	ניו סאות' ויילס	1
New York (N.Y.)	ניו יורק (נ.י.)	918
New York (State)	ניו יורק (מדינה)	1
New Zealand	ניו-זילנד	1
Newark (N.J.)	ניוארק (ניו ג'רזי)	6
Newcastle upon Tyne (England)	ניוקאסל על נהר טיין (אנגליה)	2
Newton (Mass.)	ניוטון (מסצ'וסטס)	2
Ni︠a︡sviz︠h︡ (Belarus)	נסויז' (בלארוס)	1
Nice (France)	ניס (צרפת)	13
Nir David (Israel)	ניר דוד (ישראל)	1
Nir Gallim (Israel)	ניר גלים (ישראל)	1
Nirim (Israel)	נירים (ישראל)	2
Nitra (Slovakia)	ניטרה (סלובקיה)	1
Niz︠h︡yn (Ukraine)	ניזהין (אוקראינה)	1
Nohant-Vic (France)	נואן-ויק (צרפת)	1
Noisy-le-Sec (France)	נואזי-לה-סק (צרפת)	1
Norfolk Island	נורפולק (אי)	1
Norman (Okla.)	נורמן (אוקלהומה)	1
North Bergen (N.J.)	נורת' ברגן (ניו ג'רזי)	1
North Carolina	קרולינה הצפונית	1
Norway	נורבגיה	1
Norwich (England)	נוריץ' (אנגליה)	1
Nottingham (England)	נוטינגהאם (אנגליה)	1
Nové Mesto nad Váhom (Slovakia)	עיר חדש (סלובקיה)	4
Nove Zamky (Slovakia)	ניהיזל (סלובקיה)	1
Novohrad-Volynsʹkyĭ (Ukraine)	נובוהרד-ולינסקי (אוקראינה)	3
Nowy Sącz (Poland)	צנז (פולין)	6
Nușeni (Romania)	נושני (רומניה)	3
Nyírbátor (Hungary)	ניירבטור (הונגריה)	4
Nyíregyháza (Hungary)	נירג'הזה (הונגריה)	3
Nyírlugos (Hungary)	לוגאש (הונגריה)	1
Oakland (Calif.)	אוקלנד (קליפורניה)	1
Óbuda (Hungary)	אובודה (הונגריה)	2
Odesa (Ukraine)	אודסה (אוקראינה)	42
Ofakim (Israel)	אופקים (ישראל)	2
Offenbach am Main (Germany)	אופנבך אם מיין (גרמניה)	4
Ogden (Utah)	אוגדן (יוטה)	1
Ohio	אוהיו	2
Olkusz (Poland)	אולקוש (פולין)	1
Olyka (Ukraine)	אוליקה (אוקראינה)	1
Omaha (Neb.)	אומהה (נברסקה)	1
Opatów (Tarnobrzeg, Poland)	אפטה (פולין)	2
Oradea (Romania)	אורדיאה מרה (רומניה)	16
Oran (Algeria)	אורן (אלג'יריה)	4
Orissa (India)	אוריסה (הודו)	1
Orla (Poland)	אורלה (פולין)	2
Orléans (France)	אורליאן (צרפת)	1
Orlovo (Altaĭskiĭ kraĭ, Russia)	אורלובן (מחוז אלטייה, רוסיה)	1
Ostend (Belgium)	אוסטנדה (בלגיה)	1
Ostroh (Ukraine)	אוסטרהא (אוקראינה)	13
Ostrołęka (Ostrołęka, Poland)	אוסטרולקה (אוסטרולקה, פולין)	2
Ostrów Mazowiecka (Poland)	אוסטרוב מזוביצק (פולין)	1
Ostrów Wielkopolski (Poland)	אוסטרוב ויילקופולסקי (פולין)	3
Ostrowiec Świętokrzyski (Poland)	אוסטרוביץ (פולין)	3
Ostryna (Belarus)	אוסטרין (בלארוס)	1
Oświęcim (Poland)	אושויץ (פולין)	50
Ottensen (Hamburg, Germany)	אוטנזה (המבורג, גרמניה)	1
Otwock (Poland)	אוטבוצק (פולין)	12
Oujda (Morocco)	אוג'דה (מרוקו)	2
Oxford (England)	אוקספורד (אנגליה)	13
Oxfordshire (England)	אוקספורדשייר (אנגליה)	1
Ozorków (Poland)	אזארקוו (פולין)	2
Pabianice (Poland)	פביניץ (פולין)	1
Padua (Italy)	פדובה (איטליה)	18
Paks (Hungary)	פקש (הונגריה)	4
Palanga (Lithuania)	פלנגה (ליטא)	2
Palermo (Italy)	פלרמו (איטליה)	2
Palm Beach (Fla.)	פאלם ביץ' (פלורידה)	1
Palm Springs (Calif.)	פאלם ספרינגס (קליפורניה)	5
Palmahim (Israel)	פלמחים (ישראל)	1
Paneriai (Lithuania)	פונר (ליטא)	5
Panevezys (Lithuania)	פוניבז' (ליטא)	3
Pardes Hanna-Karkur (Israel)	פרדס חנה - כרכור (ישראל)	2
Paris (France)	פריס (צרפת)	253
Paris (France)	פריס (צרפת)	1
Pasadena (Calif.)	פסדינה (קליפורניה)	1
Passaic (N.J.)	פסאיק (ניו ג'רזי)	1
Paterson (N.J.)	פטרסון (ניו ג'רזי)	1
Pavia (Italy)	פאביה (איטליה)	1
Pavlivka (Ukraine)	פבליבקה (אוקראינה)	2
Pécs (Hungary)	פץ' (הונגריה)	2
Peñafiel (Spain)	פניאפייל (ספרד)	1
Pennsylvania	פנסילבניה	1
Peoria (Ill.)	פאוריה (אילינוי)	1
Peredelkino (Russia)	פרדלקינו (רוסיה)	1
Peremyshli︠a︡ny (Ukraine)	פרמישלן (אוקראינה)	3
Perpignan (France)	פרפיניאן (צרפת)	2
Pesaro (Italy)	פזרו (איטליה)	1
Pest (Hungary)	פשט (הונגריה)	2
Petah Tikva (Israel)	פתח תקווה (ישראל)	68
Petaluma (Calif.)	פטלומה (קליפורניה)	2
Petrópolis (Brazil)	פטרופוליס (ברזיל)	1
Pezinok (Slovakia)	פזינוק (סלובקיה)	1
Pfersee (Augsburg, Germany)	פפרסה (אוגסבורג, גרמניה)	3
Philadelphia (Pa.)	פילדלפיה (פנסילבניה)	42
Phoenix (Ariz.)	פיניקס (אריזונה)	2
Pi︠a︡tigorsk (Russia)	פיאטיגורסק (רוסיה)	1
Pidvolochysʹk (Ukraine)	פאדוואלאטשוסקא (אוקראינה)	1
Piešt̕any (Slovakia)	פיאסטני (סלובקיה)	2
Pinczów (Poland)	פינצוב (פולין)	4
Pinsk (Belarus)	פינסק (בלארוס)	9
Piotrkow Trybunalski (Poland)	פיוטרקוב (פולין)	7
Pisa (Italy)	פיזה (איטליה)	2
Pittsburgh (Pa.)	פיטסברג (פנסילבניה)	10
Plano (Tex.)	פליינו (טקסס)	1
Pławno (Poland)	פלאוונו (פולין)	1
Płock (Poland)	פלוצק (פולין)	4
Płońsk (Poland)	פלונסק (פולין)	1
Plovdiv (Bulgaria)	פלובדיב (בולגריה)	1
Plungė (Lithuania)	פלונגין (ליטא)	1
Podgorze (Krakow, Poland)	פודגורזה (קרקוב, פולין)	2
Podillia (Ukraine)	פודיליה (אוקראינה)	1
Podu Iloaiei (Romania)	פודו אילואיי (רומניה)	1
Poitiers (France)	פואטייה (צרפת)	1
Poland	פולין	21
Polná (Jihomoravský kraj, Czech Republic)	פולנה (ז'יומוראבסקי קרא, צ'כיה)	1
Polonne (Ukraine)	פולונה (אוקראינה)	4
Poltava (Ukraine)	פולטבה (אוקראינה)	2
Poriyya Illit (Israel)	פורייה עילית (ישראל)	1
Portland (Me.)	פורטלנד (מיין)	1
Portland (Or.)	פורטלנד (אורגון)	1
Porto (Portugal)	פורטו (פורטוגל)	1
Portugal	פורטוגל	2
Potsdam (Germany)	פוטסדם (גרמניה)	2
Poughkeepsie (N.Y.)	פוקיפסי (ניו יורק)	1
Poznań (Poland)	פוזנן (פולין)	15
Prague (Czech Republic)	פראג (צ'כיה)	84
Princeton (N.J.)	פרינסטון (ניו ג'רזי)	10
Prostějov (Czech Republic)	פרוסטיוב (צ'כיה)	2
Provence (France)	פרובנס (צרפת)	2
Providence (R.I.)	פרובידנס (רוד איילנד)	3
Pruz︠h︡any (Belarus)	פרוז'ני (בלארוס)	3
Przedbórz (Piotrków Trybunalski, Poland)	פשדבוז (פיוטרקוב טריבונלסקי, פולין)	1
Przemyśl (Poland)	פשמישל (פולין)	24
Przysucha (Poland)	פשיסחא (פולין)	1
Púchov (Slovakia)	פוכוב (סלובקיה)	1
Puerto Rico	פוארטו ריקו	1
Puławy (Poland)	פולבי (פולין)	2
Püspökladány (Hungary)	פישפוקלדן (הונגריה)	1
Putney (London, England)	פאטני (לונדון, אנגליה)	1
Putnok (Hungary)	פוטנוק (הונגריה)	2
Pyskowice (Katowice, Poland)	פיסקוויץ (קטוביץ, פולין)	1
Qābis (Tunisia)	גבס (תוניסיה)	10
Qafṣah (Tunisia)	גאפסה (תוניסיה)	2
Qayrawān (Tunisia)	קירואן (תוניסיה)	2
Queens (New York, N.Y.)	קווינס (ניו יורק, ניו יורק)	3
Quito (Ecuador)	קיטו (אקוודור)	1
Ra'ananna (Israel)	רעננה (ישראל)	10
Rabka (Nowy Sącz, Poland)	ראבקה (צנז, פולין)	1
Radashkovichy (Belarus)	רדושקוביצה (בלארוס)	1
Radebeul (Germany)	רדהבויל (גרמניה)	1
Radekhiv (Ukraine)	רדיחוב (אוקראינה)	1
Radom (Województwo Mazowieckie, Poland)	ראדום (מדינת מזובייצק, פולין)	7
Radomsko (Poland)	רדומסק (פולין)	4
Radunʹ (Belarus)	רדין (בלארוס)	1
Radziłów (Poland)	ראדזילוב (פולין)	1
Radzymin (Poland)	רדזימין (פולין)	1
Rafaḥ (Gaza Strip)	רפיח (רצועת עזה)	2
Rajgród (Poland)	רייגרוד (פולין)	2
Ramat Aviv (Tel Aviv-Yafo, Israel)	רמת אביב (תל אביב-יפו, ישראל)	1
Ramat David (Israel)	רמת דוד (ישראל)	1
Ramat Ef'al (Ramat Gan, Israel)	רמת אפעל (רמת גן, ישראל)	1
Ramat Gan (Israel)	רמת גן (ישראל)	43
Ramat Hakovesh (Israel)	רמת הכובש (ישראל)	4
Ramat Hasharon (Israel)	רמת השרון (ישראל)	3
Ramat Hen (Ramat Gan, Israel)	רמת חן (רמת גן, ישראל)	1
Ramat Rahel (Israel)	רמת רחל (ישראל)	1
Ramat Yohanan (Israel)	רמת יוחנן (ישראל)	7
Ramatayim (Hod Hasharon, Israel)	רמתיים (הוד השרון, ישראל)	1
Ramla (Israel)	רמלה (ישראל)	1
Ramsgate (England)	רמסגייט (אנגליה)	7
Raseiniai (Lithuania)	ראסייני (ליטא)	2
Rastatt (Germany)	ראסטט (גרמניה)	1
Rava-Rusʹka (Ukraine)	ראווה רוסקה (אוקראינה)	3
Ravenna (Italy)	רוונה (איטליה)	1
Reading (Pa.)	רידינג (פנסילבניה)	1
Recanati (Italy)	רקנאטי (איטליה)	1
Red Sea	ים סוף	1
Regensburg (Germany)	רגנסבורג (גרמניה)	4
Reggio Emilia (Italy)	רג'יו (איטליה)	7
Rehovot (Israel)	רחובות (ישראל)	32
Rhinebeck (N.Y.)	ריינבק (ניו יורק)	1
Rhode Island	רוד אילנד	1
Rhodes (Greece)	רודוס (יוון)	7
Rhodesia and Nyasaland	רודזיה וניאסלנד	1
Richmond (England)	ריצ'מונד (אנגליה)	1
Richmond (Va.)	ריצ'מונד (וירג'יניה)	1
Richmond upon Thames (London, England)	ריצ'מונד שעל התמזה (לונדון, אנגליה)	1
Rietavas (Lithuania)	ריטובה (ליטא)	1
Rieti (Italy)	רייטי (איטליה)	1
Rio de Janeiro (Brazil : State)	ריו דה ז'ניירו (ברזיל : מדינה)	1
Rio de Janeiro (Brazil)	ריו דה ז'ניירו (ברזיל)	10
Rishon Letsiyon (Israel)	ראשון לציון (ישראל)	27
Rochester (Minn.)	רוצ'סטר (מינסוטה)	1
Rochester (N.Y.)	רוצ'סטר (ניו יורק)	2
Rockville (Md.)	רוקוויל (מרילנד)	1
Rödelheim (Germany)	רדלהיים (גרמניה)	1
Rohatyn (Ukraine)	רוהטין (אוקראינה)	4
Roman (Romania)	רומאן (רומניה)	1
Romania	רומניה	1
Rome (Italy)	רומא (איטליה)	45
Rome	רומי	15
Romny (Ukraine)	רומני (אוקראינה)	1
Ropczyce (Poland)	רופשיץ (פולין)	2
Roquebrune-Cap-Martin (France)	רוקואברון-קאפ-מרטין (צרפת)	1
Rosh Ha'ayin (Israel)	ראש העין (ישראל)	1
Rosh Pina (Israel)	ראש פינה (ישראל)	3
Rostock (Germany)	רושטוק (גרמניה)	1
Rostov (Russia)	רוסטוב (רוסיה)	3
Rostov-na-Donu (Russia)	רוסטוב על הדון	1
Rotterdam (Netherlands)	רוטרדם (הולנד)	3
Rouen (France)	רואן (צרפת)	2
Roxbury (Boston, Mass.)	רוקסברי (בוסטון, מסצ'וסטס)	1
Rozdil (Ukraine)	רוזדיל (אוקראינה)	1
Roz︠h︡ni︠a︡tiv (Ukraine)	רוז'ניטייב (אוקראינה)	3
Rozwadów (Poland)	רוזודוב (פולין)	1
Rudky (Lʹvivsʹka oblastʹ, Ukraine)	רודקי (מחוז לביב, אוקראינה)	1
Rymanów (Poland)	רימנוב (פולין)	4
Rypin (Poland)	ריפין (פולין)	1
Rzeszów (Poland)	רישא (פולין)	15
Sabbioneta (Italy)	סביונטה (איטליה)	1
Sadhora (Chernivtsi, Ukraine)	סדיגורה (צ'רנוביץ, אוקראינה)	1
Šafov (Czech Republic)	שאפא (צ'כיה)	1
Saïda (Algeria : Province)	סעידה (אלג'יריה : מחוז)	2
Saint Louis (Mo.)	סנט לואיס (מיזורי)	4
Saint Petersburg (Russia)	פטרבורג (רוסיה)	62
Saint-Tropez (France)	סן טרופה (צרפת)	1
Šakiai (Lithuania)	שקי (ליטא)	1
Salgótarján (Hungary)	שלגוטרין (הונגריה)	1
Salt Lake City (Utah)	סולט לייק סיטי (יוטה)	1
Salzburg (Austria)	זלצבורג (אוסטריה)	1
Sambir (Sambirsʹkyĭ raĭon, Ukraine)	סמבור (אוקראינה)	6
Samoa	סמואה	1
San Antonio (Tex.)	סן אנטוניו (טקסס)	1
San Diego (Calif.)	סן דייגו (קליפורניה)	3
San Francisco (Calif.)	סן פרנסיסקו (קליפורניה)	12
San Juan (P.R.)	סן חואן (פוארטו ריקו)	1
San Lorenzo del Escorial (Spain)	המנזר המלכותי של סן לורנצו (ספרד)	1
San Luis Obispo (Calif.)	סן לואיס אוביספו (קליפורניה)	1
San Miguel de Allende (Mexico)	סן מיגל דה איינדה (מקסיקו)	1
San Remo (Italy)	סן רמו (איטליה)	3
San'a (Yemen)	צנעא (תימן)	10
Sandomierz (Poland)	סנדומיז' (פולין)	4
Sandringham (England)	סנדרינגהם (אנגליה)	2
Sankt Goar (Germany)	סנקט גואר (גרמניה)	1
Sannicandro Garganico (Italy)	סניקנדרו גרגניקו (איטליה)	1
Sanok (Poland)	סנוק (פולין)	4
Sansepolcro (Italy)	סנספולקרו (איטליה)	1
Santa Ana (Calif.)	סנטה אנה (קליפורניה)	1
Santa Barbara (Calif.)	סנטה ברברה (קליפורניה)	5
Santa Fe (N.M.)	סנטה פה (ניו מקסיקו)	1
Santa Monica (Calif.)	סנטה מוניקה (קליפורניה)	9
Santa Rosa (Calif.)	סנטה רוזה (קליפורניה)	1
Sarasota (Fla.)	סרסוטה (פלורידה)	1
Saratov (Russia)	סרטוב (רוסיה)	3
Sarid (Israel)	שריד (ישראל)	5
Sárospatak (Hungary)	שרושפטק (הונגריה)	1
Sárvár (Hungary)	סארבר (הונגריה)	1
Sasiv (Ukraine)	ססוב (אוקראינה)	1
Sataniv (Ukraine)	סאטאניב (אוקראינה)	3
