placeName as written	Kima_Id	URI	Primary_Latin	Primary_Hebrew
Laren (North Holland, Netherlands)	17079	http://geo-kima.org/place/17079	Laren (North Holland, Netherlands)	לארן (צפון הולנד, הולנד)
Moncalieri (Italy)	17095	http://geo-kima.org/place/17095	Moncalieri (Italy)	מונקאליירי (איטליה)
Lahavot Habashan (Israel)	171	http://geo-kima.org/place/171	Lahavot Habashan (Israel)	להבות הבשן (ישראל)
Turek (Poland)	17102	http://geo-kima.org/place/17102	Turek (Poland)	טורק (פולין)
Lanzarote (Canary Islands)	17109	http://geo-kima.org/place/17109	Lanzarote (Canary Islands)	לנזרוטה (האיים הקנריים)
Wasilków (Poland)	17112	http://geo-kima.org/place/17112	Wasilków (Poland)	וסילקוב (פולין)
Błonie (Warsaw, Poland)	17123	http://geo-kima.org/place/17123	Błonie (Warsaw, Poland)	בלוניה (ורשה, פולין) (פולין)
Shchuchyn (Belarus)	17140	http://geo-kima.org/place/17140	Shchuchyn (Belarus)	שצ'וצ'ין (בלארוס)
Jonava (Lithuania)	17163	http://geo-kima.org/place/17163	Jonava (Lithuania)	ינובה (ליטא)
Samara (Russia)	17173	http://geo-kima.org/place/17173	Samara (Russia)	סמרה (רוסיה)
Steinbach (Man.)	17176	http://geo-kima.org/place/17176	Steinbach (Man.)	סטיינבך (מניטובה)
Uz︠h︡horod (Ukraine)	1718	http://geo-kima.org/place/1718	Uz︠h︡horod (Ukraine)	אונגור (אוקראינה)
Kreuzburg (Germany)	17196	http://geo-kima.org/place/17196	Kreuzburg (Germany)	קרויצבורג (גרמניה)
Polonne (Ukraine)	1721	http://geo-kima.org/place/1721	Polonne (Ukraine)	פולונה (אוקראינה)
Weissenfels (Germany)	17215	http://geo-kima.org/place/17215	Weissenfels (Germany)	וייסנפלס (גרמניה)
Pryluky (Ukraine)	1722	http://geo-kima.org/place/1722	Pryluky (Ukraine)	פרילוקי (אוקראינה)
Kovelʹ (Ukraine)	17237	http://geo-kima.org/place/17237	Kovelʹ (Ukraine)	קובל (אוקראינה)
Weikersheim (Germany)	17239	http://geo-kima.org/place/17239	Weikersheim (Germany)	ווייקרסהיים (גרמניה)
Radyvyliv (Ukraine)	1724	http://geo-kima.org/place/1724	Radyvyliv (Ukraine)	רדזיווילוב (אוקראינה)
Johannisburg (Germany)	17241	http://geo-kima.org/place/17241	Johannisburg (Germany)	יוהניסבורג (גרמניה)
Radomsko (Poland)	17247	http://geo-kima.org/place/17247	Radomsko (Poland)	רדומסק (פולין)
Mohrungen (Germany)	17248	http://geo-kima.org/place/17248	Mohrungen (Germany)	מוהרונגן (גרמניה)
Berestechko (Ukraine)	17257	http://geo-kima.org/place/17257	Berestechko (Ukraine)	ברסטצ'קה (אוקראינה)
Be'er Ya'akov (Israel)	17274	http://geo-kima.org/place/17274	Be'er Ya'akov (Israel)	באר יעקב (ישראל)
Rivne (Rivnensʹka oblastʹ, Ukraine)	1728	http://geo-kima.org/place/1728	Rivne (Rivnensʹka oblastʹ, Ukraine)	רובנו (מחוז רובנו, אוקראינה)
Medinaceli (Spain)	17282	http://geo-kima.org/place/17282	Medinaceli (Spain)	מדינצ'לי (ספרד)
Chios (Greece)	17289	http://geo-kima.org/place/17289	Chios (Greece)	כיוס (יוון)
Rödelheim (Germany)	1729	http://geo-kima.org/place/1729	Rödelheim (Germany)	רדלהיים (גרמניה)
Lubaczów (Poland)	173	http://geo-kima.org/place/173	Lubaczów (Poland)	לובאצ'וב (פולין)
Ropczyce (Poland)	17303	http://geo-kima.org/place/17303	Ropczyce (Poland)	רופשיץ (פולין)
Slavkov u Brna (Czech Republic)	17309	http://geo-kima.org/place/17309	Slavkov u Brna (Czech Republic)	סלאוקוב או ברנא (צ'כיה)
Gostiņi (Latvia)	17310	http://geo-kima.org/place/17310	Gostiņi (Latvia)	גוסטיני (לטביה)
Konotop (Sumsʹka oblastʹ, Ukraine)	17312	http://geo-kima.org/place/17312	Konotop (Sumsʹka oblastʹ, Ukraine)	קונוטופ (מחוז סומי, אוקראינה)
Bolhrad (Ukraine)	17313	http://geo-kima.org/place/17313	Bolhrad (Ukraine)	בולהרד (אוקראינה)
Demmin (Germany)	17315	http://geo-kima.org/place/17315	Demmin (Germany)	דמין (גרמניה)
Săpînța (Romania)	17322	http://geo-kima.org/place/17322	Săpînța (Romania)	ספינצה (רומניה)
Grodzisk Wielkopolski (Poland)	17324	http://geo-kima.org/place/17324	Grodzisk Wielkopolski (Poland)	גרידיץ (פולין)
Medz︠h︡ybiz︠h︡ (Ukraine)	17325	http://geo-kima.org/place/17325	Medz︠h︡ybiz︠h︡ (Ukraine)	מז'יבוז' (אוקראינה)
Scheveningen (Netherlands)	1734	http://geo-kima.org/place/1734	Scheveningen (Netherlands)	סכוונינגן (הולנד)
Újfehértó (Hungary)	17358	http://geo-kima.org/place/17358	Újfehértó (Hungary)	רצפרטה (הונגריה)
Shereshevo (Belarus)	1736	http://geo-kima.org/place/1736	Shereshevo (Belarus)	שערשעוו (בלארוס)
Sni︠a︡tyn (Ukraine)	1738	http://geo-kima.org/place/1738	Sni︠a︡tyn (Ukraine)	שניאטין (אוקראינה)
Skole (Ukraine)	17382	http://geo-kima.org/place/17382	Skole (Ukraine)	סקולה (אוקראינה)
Floss (Germany)	17395	http://geo-kima.org/place/17395	Floss (Germany)	פלוס (גרמניה)
Lublin (Poland)	174	http://geo-kima.org/place/174	Lublin (Poland)	לובלין (פולין)
Chudniv (Ukraine)	17403	http://geo-kima.org/place/17403	Chudniv (Ukraine)	צ'ודניב (אוקראינה)
Staten Island (New York, N.Y.)	1741	http://geo-kima.org/place/1741	Staten Island (New York, N.Y.)	סטטן איילנד (ניו יורק, ניו יורק)
Rosario (Santa Fe, Argentina)	17410	http://geo-kima.org/place/17410	Rosario (Santa Fe, Argentina)	רוסאריו (סנטה פה, ארגנטינה)
Plungė (Lithuania)	17413	http://geo-kima.org/place/17413	Plungė (Lithuania)	פלונגין (ליטא)
Sulzburg (Germany)	17415	http://geo-kima.org/place/17415	Sulzburg (Germany)	זולצבורג (גרמניה)
Strasbourg (France)	1742	http://geo-kima.org/place/1742	Strasbourg (France)	שטרסבורג (צרפת)
Gleiwitz (Germany)	17426	http://geo-kima.org/place/17426	Gleiwitz (Germany)	גלייוויץ (גרמניה)
Stryĭ (Ukraine)	1743	http://geo-kima.org/place/1743	Stryĭ (Ukraine)	סטריי (אוקראינה)
Kakhovka (Ukraine)	17434	http://geo-kima.org/place/17434	Kakhovka (Ukraine)	קחובקה (אוקראינה)
Bieruń Stary (Poland)	17450	http://geo-kima.org/place/17450	Bieruń Stary (Poland)	בירון סטארי (פולין)
Zsámbék (Hungary)	17459	http://geo-kima.org/place/17459	Zsámbék (Hungary)	זסמבק (הונגריה)
Turka (Lʹvivsʹka oblastʹ, Ukraine)	1746	http://geo-kima.org/place/1746	Turka (Lʹvivsʹka oblastʹ, Ukraine)	טורקא (אוקראינה)
Włoszczowa (Poland)	17474	http://geo-kima.org/place/17474	Włoszczowa (Poland)	וולושצובה (פולין)
Nagykálló (Hungary)	17477	http://geo-kima.org/place/17477	Nagykálló (Hungary)	קלוב (הונגריה)
Seini (Romania)	1748	http://geo-kima.org/place/1748	Seini (Romania)	סיניע (רומניה)
Joigny (France)	17491	http://geo-kima.org/place/17491	Joigny (France)	ז'ואני (צרפת)
Końskowola (Poland)	175	http://geo-kima.org/place/175	Końskowola (Poland)	קונסקה וולה (פולין)
Białobrzegi (Radom, Poland)	17503	http://geo-kima.org/place/17503	Białobrzegi (Radom, Poland)	בילובז'יג (פולין)
Kolbuszowa (Poland)	17514	http://geo-kima.org/place/17514	Kolbuszowa (Poland)	קולבושובה (פולין)
Svislach (Hrodzenskaia voblasts, Belarus)	17520	http://geo-kima.org/place/17520	Svislach (Hrodzenskaia voblasts, Belarus)	סוויסלוץ' (מחוז הורדנה, בלארוס)
Port Said (Egypt)	17522	http://geo-kima.org/place/17522	Port Said (Egypt)	פורט סעיד (מצרים)
Vișeu de Sus (Romania)	17537	http://geo-kima.org/place/17537	Vișeu de Sus (Romania)	וישאו דה סוס (רומניה)
Kybartai (Lithuania)	17540	http://geo-kima.org/place/17540	Kybartai (Lithuania)	קיברט (ליטא)
Lokachi (Ukraine)	17542	http://geo-kima.org/place/17542	Lokachi (Ukraine)	לוקץ' (אוקראינה)
Skryhiczyn (Poland)	17543	http://geo-kima.org/place/17543	Skryhiczyn (Poland)	סקריהיטשן (פולין)
Dhamār (Yemen)	17547	http://geo-kima.org/place/17547	Dhamār (Yemen)	דמאר (תימן)
Altenkunstadt (Germany)	17549	http://geo-kima.org/place/17549	Altenkunstadt (Germany)	אלטנקונסטט (גרמניה)
Oss (Netherlands)	17551	http://geo-kima.org/place/17551	Oss (Netherlands)	אוס (הולנד)
Chelsea (Mass.)	17552	http://geo-kima.org/place/17552	Chelsea (Mass.)	צ'לסי (מסצ'וסטס)
Siemiatycze (Poland)	17642	http://geo-kima.org/place/17642	Siemiatycze (Poland)	סמיטיץ' (פולין)
Byten (Belarus)	17644	http://geo-kima.org/place/17644	Byten (Belarus)	ביטן (בלארוס)
Ostrów Lubelski (Poland)	17651	http://geo-kima.org/place/17651	Ostrów Lubelski (Poland)	אוסטרוב לובלסקי (פולין)
Alytus (Lithuania)	17653	http://geo-kima.org/place/17653	Alytus (Lithuania)	אליטא (ליטא)
Momostenango (Guatemala)	17654	http://geo-kima.org/place/17654	Momostenango (Guatemala)	מומוסטננגו (גואטמלה)
Krychaŭ (Belarus)	17656	http://geo-kima.org/place/17656	Krychaŭ (Belarus)	קריצ'או (בלארוס)
Leżajsk (Poland)	17659	http://geo-kima.org/place/17659	Leżajsk (Poland)	ליז'נסק (פולין)
Visp (Switzerland)	17660	http://geo-kima.org/place/17660	Visp (Switzerland)	וויספ (שווייץ)
Druskininkai (Lithuania)	17666	http://geo-kima.org/place/17666	Druskininkai (Lithuania)	דרוסקינינקאי (ליטא)
Brockton (Mass.)	17670	http://geo-kima.org/place/17670	Brockton (Mass.)	ברוקטון (מסצ'וסטס)
Parczew (Biała Podlaska, Poland)	17675	http://geo-kima.org/place/17675	Parczew (Biała Podlaska, Poland)	פארצ'ב (בילה פודלסקה, פולין)
Colonia Lucienville (Argentina)	17686	http://geo-kima.org/place/17686	Colonia Lucienville (Argentina)	קולוניה לוסיאנויל (ארגנטינה)
Malakoff (France)	17692	http://geo-kima.org/place/17692	Malakoff (France)	מלקוף (צרפת)
Lugano (Switzerland)	177	http://geo-kima.org/place/177	Lugano (Switzerland)	לוגאנו (שווייץ)
Fontenay-sous-Bois (France)	17705	http://geo-kima.org/place/17705	Fontenay-sous-Bois (France)	פונטניי סו בוה (צרפת)
Czyżewo (Poland)	17714	http://geo-kima.org/place/17714	Czyżewo (Poland)	צ'יזבה (פולין)
Jarocin (Kalisz, Poland)	17721	http://geo-kima.org/place/17721	Jarocin (Kalisz, Poland)	יאראטשין (פולין)
Czech Republic	17739	http://geo-kima.org/place/17739	Czech Republic	צ'כיה
Moldova	17740	http://geo-kima.org/place/17740	Moldova	מולדובה
Pidvolochysʹk (Ukraine)	17744	http://geo-kima.org/place/17744	Pidvolochysʹk (Ukraine)	פאדוואלאטשוסקא (אוקראינה)
Sokołów Podlaski (Poland)	17745	http://geo-kima.org/place/17745	Sokołów Podlaski (Poland)	סוקולוב פודלסקי (פולין)
Bessarabia (Moldova and Ukraine)	1775	http://geo-kima.org/place/1775	Bessarabia (Moldova and Ukraine)	בסרביה (מולדובה-אוקראינה)
Memel (East Prussia, Germany)	17750	http://geo-kima.org/place/17750	Memel (East Prussia, Germany)	ממל (פרוסיה המזרחית, גרמניה)
Łosice (Poland)	17758	http://geo-kima.org/place/17758	Łosice (Poland)	לושיץ (פולין)
Lod (Israel)	178	http://geo-kima.org/place/178	Lod (Israel)	לוד (ישראל)
Kunszentmárton (Hungary)	17803	http://geo-kima.org/place/17803	Kunszentmárton (Hungary)	קונסנטמרטון (הונגריה)
Sharhorod (Ukraine)	17813	http://geo-kima.org/place/17813	Sharhorod (Ukraine)	שרגורוד (אוקראינה)
Pyskowice (Katowice, Poland)	17823	http://geo-kima.org/place/17823	Pyskowice (Katowice, Poland)	פיסקוויץ (קטוביץ, פולין)
Tarnobrzeg (Poland)	17845	http://geo-kima.org/place/17845	Tarnobrzeg (Poland)	טרנובז'ג (פולין)
Lazdijai (Lithuania)	17846	http://geo-kima.org/place/17846	Lazdijai (Lithuania)	לזדיי (ליטא)
Rymanów (Poland)	17888	http://geo-kima.org/place/17888	Rymanów (Poland)	רימנוב (פולין)
Łódź (Poland)	179	http://geo-kima.org/place/179	Łódź (Poland)	לודז' (פולין)
Huedin (Romania)	17933	http://geo-kima.org/place/17933	Huedin (Romania)	הואדין (רומניה)
Lendava (Slovenia)	17950	http://geo-kima.org/place/17950	Lendava (Slovenia)	לנדבה (סלובניה)
Clonmel (Ireland)	17956	http://geo-kima.org/place/17956	Clonmel (Ireland)	קלונמל (אירלנד)
Mitchelstown (Ireland)	17960	http://geo-kima.org/place/17960	Mitchelstown (Ireland)	מיצ'לסטאון (אירלנד)
Podu Iloaiei (Romania)	17972	http://geo-kima.org/place/17972	Podu Iloaiei (Romania)	פודו אילואיי (רומניה)
Belarus	17986	http://geo-kima.org/place/17986	Belarus	בלארוס
Uzbekistan	17990	http://geo-kima.org/place/17990	Uzbekistan	אוזבקיסטן
Tajikistan	17991	http://geo-kima.org/place/17991	Tajikistan	טג'יקיסטן
Kazakhstan	17992	http://geo-kima.org/place/17992	Kazakhstan	קזחסטן
Stropkov (Slovakia)	17995	http://geo-kima.org/place/17995	Stropkov (Slovakia)	סטרופקוב (סלובקיה)
Mariupolʹ (Ukraine)	17998	http://geo-kima.org/place/17998	Mariupolʹ (Ukraine)	מריאופול (אוקראינה)
Nazareth (Israel)	18	http://geo-kima.org/place/18	Nazareth (Israel)	נצרת (ישראל)
Ludza (Latvia)	180	http://geo-kima.org/place/180	Ludza (Latvia)	לודזה (לטביה)
Gal'on (Israel)	18013	http://geo-kima.org/place/18013	Gal'on (Israel)	גלאון (ישראל)
Iłża (Poland)	18015	http://geo-kima.org/place/18015	Iłża (Poland)	אילז'ה (פולין)
Sasiv (Ukraine)	18016	http://geo-kima.org/place/18016	Sasiv (Ukraine)	ססוב (אוקראינה)
Nohant-Vic (France)	18017	http://geo-kima.org/place/18017	Nohant-Vic (France)	נואן-ויק (צרפת)
Kałuszyn (Warsaw, Poland)	18019	http://geo-kima.org/place/18019	Kałuszyn (Warsaw, Poland)	קאלושין (ורשה, פולין)
Tafilalt (Morocco)	18028	http://geo-kima.org/place/18028	Tafilalt (Morocco)	תאפילאלת (מרוקו)
Brześć Kujawski (Poland)	18039	http://geo-kima.org/place/18039	Brześć Kujawski (Poland)	בז'שץ' קויאוסקי (פולין)
Glazov (Russia)	18041	http://geo-kima.org/place/18041	Glazov (Russia)	גלזוב (רוסיה)
Arévalo (Spain)	18053	http://geo-kima.org/place/18053	Arévalo (Spain)	ארבאלו (ספרד)
Mykulynt︠s︡i (Ukraine)	18061	http://geo-kima.org/place/18061	Mykulynt︠s︡i (Ukraine)	מיקולינצי (אוקראינה)
Rubiazhevichy (Belarus)	18075	http://geo-kima.org/place/18075	Rubiazhevichy (Belarus)	רובזויץ (בלארוס)
Lipno (Włocławek, Poland)	18080	http://geo-kima.org/place/18080	Lipno (Włocławek, Poland)	ליפנו (ולוצלאווק, פולין)
Sankt Goar (Germany)	18082	http://geo-kima.org/place/18082	Sankt Goar (Germany)	סנקט גואר (גרמניה)
Luzzara (Italy)	18083	http://geo-kima.org/place/18083	Luzzara (Italy)	לוזרה (איטליה)
Li︠u︡bavichi (Russia)	18092	http://geo-kima.org/place/18092	Li︠u︡bavichi (Russia)	ליובויץ' (רוסיה)
Staryĭ Sambir (Ukraine)	18096	http://geo-kima.org/place/18096	Staryĭ Sambir (Ukraine)	סטארי סמביר (אוקראינה)
Lausanne (Switzerland)	181	http://geo-kima.org/place/181	Lausanne (Switzerland)	לוזאן (שווייץ)
Simleul-Silvaniei (Romania)	18100	http://geo-kima.org/place/18100	Simleul-Silvaniei (Romania)	שימלאו סילבאניי (רומניה)
Aleksandrów Łodzki (Poland)	18106	http://geo-kima.org/place/18106	Aleksandrów Łodzki (Poland)	אלכסנדר (פולין)
Zabłudów (Poland)	18112	http://geo-kima.org/place/18112	Zabłudów (Poland)	זבלודוב (פולין)
Shpola (Ukraine)	18113	http://geo-kima.org/place/18113	Shpola (Ukraine)	שפולה (אוקראינה)
Zawiercie (Poland)	18118	http://geo-kima.org/place/18118	Zawiercie (Poland)	זבירציה (פולין)
Ozorków (Poland)	18119	http://geo-kima.org/place/18119	Ozorków (Poland)	אזארקוו (פולין)
Rozwadów (Poland)	18120	http://geo-kima.org/place/18120	Rozwadów (Poland)	רוזודוב (פולין)
Sokółka (Poland)	18121	http://geo-kima.org/place/18121	Sokółka (Poland)	סוקולקה (פולין)
Kraśnik (Poland)	18131	http://geo-kima.org/place/18131	Kraśnik (Poland)	קרשניק (פולין)
Lohame Hageta'ot (Israel)	182	http://geo-kima.org/place/182	Lohame Hageta'ot (Israel)	לוחמי הגטאות (ישראל)
Essingen (Südliche Weinstrasse, Germany)	18219	http://geo-kima.org/place/18219	Essingen (Südliche Weinstrasse, Germany)	אסינגן (סודליש וויינשטרסה, גרמניה)
Sosnowiec (Wojewodztwo Slaskie, Poland)	18249	http://geo-kima.org/place/18249	Sosnowiec (Wojewodztwo Slaskie, Poland)	סוסנוביץ (שלזיה, פולין)
Przysucha (Poland)	18259	http://geo-kima.org/place/18259	Przysucha (Poland)	פשיסחא (פולין)
Letychiv (Ukraine)	18260	http://geo-kima.org/place/18260	Letychiv (Ukraine)	לטיצ'ב (אוקראינה)
Yirka (Israel)	18267	http://geo-kima.org/place/18267	Yirka (Israel)	ירכא (ישראל)
Taurage (Lithuania)	18268	http://geo-kima.org/place/18268	Taurage (Lithuania)	טאורגה (ליטא)
Ataki (Moldova)	18276	http://geo-kima.org/place/18276	Ataki (Moldova)	אטקי (מולדובה)
Daugeliškiai (Belarus)	18277	http://geo-kima.org/place/18277	Daugeliškiai (Belarus)	דוגאלישוק (בלארוס)
Dyatlovo (Belarus)	18284	http://geo-kima.org/place/18284	Dyatlovo (Belarus)	ז'טל (בלארוס)
Zelechow (Poland)	18285	http://geo-kima.org/place/18285	Zelechow (Poland)	ז'ליחוב (פולין)
Przasnysz (Poland)	18286	http://geo-kima.org/place/18286	Przasnysz (Poland)	פרושניץ (פולין)
Giv'at Ada (Israel)	18292	http://geo-kima.org/place/18292	Giv'at Ada (Israel)	גבעת עדה (ישראל)
Drahichyn (Belarus)	18293	http://geo-kima.org/place/18293	Drahichyn (Belarus)	דרוהיטשין (בלארוס)
Z︠H︡uravno (Ukraine)	18295	http://geo-kima.org/place/18295	Z︠H︡uravno (Ukraine)	ז'ורבנו (אוקראינה)
Menahemya (Israel)	18297	http://geo-kima.org/place/18297	Menahemya (Israel)	מנחמיה (ישראל)
Dunajská Streda (Slovakia)	18298	http://geo-kima.org/place/18298	Dunajská Streda (Slovakia)	דונסרדהלי (סלובקיה)
Luton (England)	183	http://geo-kima.org/place/183	Luton (England)	לוטון (אנגליה)
Yokne'am (Israel)	18301	http://geo-kima.org/place/18301	Yokne'am (Israel)	יקנעם (מושבה) (ישראל)
Muknīn (Tunisia)	18306	http://geo-kima.org/place/18306	Muknīn (Tunisia)	מוכנין (תוניסיה)
Mladá Boleslav (Czech Republic)	18317	http://geo-kima.org/place/18317	Mladá Boleslav (Czech Republic)	מלאדה בולסלב (צ'כיה)
Rohatyn (Ukraine)	18322	http://geo-kima.org/place/18322	Rohatyn (Ukraine)	רוהטין (אוקראינה)
Verson (France)	18348	http://geo-kima.org/place/18348	Verson (France)	ורסון (צרפת)
Vouziers (France)	18351	http://geo-kima.org/place/18351	Vouziers (France)	ווזיר (צרפת)
Ożarów (Poland)	18359	http://geo-kima.org/place/18359	Ożarów (Poland)	אוז'רוב (פולין)
Łomazy (Poland)	18363	http://geo-kima.org/place/18363	Łomazy (Poland)	לומז (פולין)
Saqqiz (Iran)	18369	http://geo-kima.org/place/18369	Saqqiz (Iran)	סביז (איראן)
Velizh (Russia)	18374	http://geo-kima.org/place/18374	Velizh (Russia)	וליז' (רוסיה)
En-Zetim (Israel)	18380	http://geo-kima.org/place/18380	En-Zetim (Israel)	עין זיתים (ישראל)
Mińsk Mazowiecki (Poland)	18383	http://geo-kima.org/place/18383	Mińsk Mazowiecki (Poland)	מינסק מזובייצקי (פולין)
Oleksandrii︠a︡ (Kirovohradsʹka oblastʹ, Ukraine)	18391	http://geo-kima.org/place/18391	Oleksandrii︠a︡ (Kirovohradsʹka oblastʹ, Ukraine)	אלכסנדריה (אוקראינה)
Yad Hanna (Israel)	18398	http://geo-kima.org/place/18398	Yad Hanna (Israel)	יד חנה (ישראל)
Korelichi (Belarus)	18409	http://geo-kima.org/place/18409	Korelichi (Belarus)	קורליץ (בלארוס)
Chortkiv (Ukraine)	18410	http://geo-kima.org/place/18410	Chortkiv (Ukraine)	צ'ורטקוב (אוקראינה)
Storoz︠h︡ynet︠s︡ʹ (Ukraine)	18411	http://geo-kima.org/place/18411	Storoz︠h︡ynet︠s︡ʹ (Ukraine)	סטורוז'ינץ (אוקראינה)
Ramot Menashe (Kibbutz) (Israel)	18414	http://geo-kima.org/place/18414	Ramot Menashe (Kibbutz) (Israel)	רמות מנשה (קיבוץ) (ישראל)
Bobowa (Poland)	18415	http://geo-kima.org/place/18415	Bobowa (Poland)	בובוב (פולין)
Sochaczew (Poland)	18416	http://geo-kima.org/place/18416	Sochaczew (Poland)	סוכטשוב (פולין)
Afula (Israel)	18417	http://geo-kima.org/place/18417	Afula (Israel)	עפולה (ישראל)
Kefar Shemaryahu (Israel)	18420	http://geo-kima.org/place/18420	Kefar Shemaryahu (Israel)	כפר שמריהו (ישראל)
Murafa (Vinnyt︠s︡ʹka oblastʹ, Ukraine)	18428	http://geo-kima.org/place/18428	Murafa (Vinnyt︠s︡ʹka oblastʹ, Ukraine)	מוראפה (מחוז ויניצה, אוקראינה)
Gailingen (Germany)	18432	http://geo-kima.org/place/18432	Gailingen (Germany)	גילינגן (גרמניה)
Zawalów (Poland)	18440	http://geo-kima.org/place/18440	Zawalów (Poland)	זאוואלוב (פולין)
En Hod (Israel)	18441	http://geo-kima.org/place/18441	En Hod (Israel)	עין הוד (ישראל)
Oberendingen (Switzerland)	18447	http://geo-kima.org/place/18447	Oberendingen (Switzerland)	אובראנדיגן (שווייץ)
Dubova (Umansʹkyĭ raĭon, Ukraine)	18451	http://geo-kima.org/place/18451	Dubova (Umansʹkyĭ raĭon, Ukraine)	דובובה (מחוז אומאנסק, אוקראינה)
Działoszyce (Poland)	18456	http://geo-kima.org/place/18456	Działoszyce (Poland)	דזילושיץ (פולין)
Hartuv (Israel)	18468	http://geo-kima.org/place/18468	Hartuv (Israel)	הרטוב (ישראל)
Myślenice (Poland)	18473	http://geo-kima.org/place/18473	Myślenice (Poland)	מישלניץ (פולין)
Yavne'el (Israel)	18477	http://geo-kima.org/place/18477	Yavne'el (Israel)	יבנאל (ישראל)
Sha'arayim (Rehovot, Israel)	18481	http://geo-kima.org/place/18481	Sha'arayim (Rehovot, Israel)	שעריים (רחובות, ישראל)
Radzymin (Poland)	18483	http://geo-kima.org/place/18483	Radzymin (Poland)	רדזימין (פולין)
Gostynin (Poland)	18497	http://geo-kima.org/place/18497	Gostynin (Poland)	גוסטינין (פולין)
Luxembourg	185	http://geo-kima.org/place/185	Luxembourg	לוכסמבורג
Deià (Spain)	18503	http://geo-kima.org/place/18503	Deià (Spain)	דייה (ספרד)
Deutschkreutz (Austria)	18516	http://geo-kima.org/place/18516	Deutschkreutz (Austria)	דויטש קרויץ (אוסטריה)
Żółkiew (Poland)	18535	http://geo-kima.org/place/18535	Żółkiew (Poland)	ז'ולקייב (פולין)
Bel Air (Los Angeles, Calif.)	18536	http://geo-kima.org/place/18536	Bel Air (Los Angeles, Calif.)	בל אייר (לוס אנג'לס, קליפורניה)
Luckenwalde (Germany)	18545	http://geo-kima.org/place/18545	Luckenwalde (Germany)	לוקנוולדה (גרמניה)
Brat︠s︡lav (Ukraine)	18550	http://geo-kima.org/place/18550	Brat︠s︡lav (Ukraine)	ברסלב (אוקראינה)
Bełżyce (Poland)	18562	http://geo-kima.org/place/18562	Bełżyce (Poland)	בלז'יצה (פולין)
Kelmscot (England)	18564	http://geo-kima.org/place/18564	Kelmscot (England)	קלמסקוט (אנגליה)
Astoria (New York, N.Y.)	18571	http://geo-kima.org/place/18571	Astoria (New York, N.Y.)	אסטוריה (ניו יורק, ניו יורק)
Novoukraïnsʹkyĭ raĭon (Ukraine)	18576	http://geo-kima.org/place/18576	Novoukraïnsʹkyĭ raĭon (Ukraine)	מחוז נובוקריינסקיי (אוקראינה)
Mikulov (Jihomoravský kraj, Czech Republic)	18583	http://geo-kima.org/place/18583	Mikulov (Jihomoravský kraj, Czech Republic)	מיקולוב (מורביה הדרומית, צ'כיה)
Bălți (Moldova)	18584	http://geo-kima.org/place/18584	Bălți (Moldova)	בלץ (מולדובה)
Kosów Lacki (Poland)	18586	http://geo-kima.org/place/18586	Kosów Lacki (Poland)	קוסוב (פולין)
Lake Elsinore (Calif.)	18587	http://geo-kima.org/place/18587	Lake Elsinore (Calif.)	אגם אלסינור (קליפורניה)
Osoblaha (Czech Republic)	18590	http://geo-kima.org/place/18590	Osoblaha (Czech Republic)	אוסובלאהה (צ'כיה)
Asnières-sur-Seine (France)	18598	http://geo-kima.org/place/18598	Asnières-sur-Seine (France)	אניר סור סן (צרפת)
Tel-Yosef (Israel)	186	http://geo-kima.org/place/186	Tel-Yosef (Israel)	תל יוסף (ישראל)
Nové Město nad Metují (Czech Republic)	18622	http://geo-kima.org/place/18622	Nové Město nad Metují (Czech Republic)	נובה מסטו נאד מטויי (צ'כיה)
Burgkunstadt (Germany)	18633	http://geo-kima.org/place/18633	Burgkunstadt (Germany)	בורגקונשטט (גרמניה)
Vasylʹkiv (Ukraine)	18640	http://geo-kima.org/place/18640	Vasylʹkiv (Ukraine)	ואסילקיב (אוקראינה)
Grybów (Poland)	18644	http://geo-kima.org/place/18644	Grybów (Poland)	גריבוב (פולין)
Tukums (Latvia)	18647	http://geo-kima.org/place/18647	Tukums (Latvia)	טוקומס (לטביה)
Skaudvilė (Lithuania)	18654	http://geo-kima.org/place/18654	Skaudvilė (Lithuania)	שקודוויל (ליטא)
Skvyra (Ukraine)	18655	http://geo-kima.org/place/18655	Skvyra (Ukraine)	סקווירה (אוקראינה)
Bollnäs (Sweden)	18664	http://geo-kima.org/place/18664	Bollnäs (Sweden)	בולנאס (שבדיה)
Mommenheim (Germany)	18675	http://geo-kima.org/place/18675	Mommenheim (Germany)	מומנהיים (גרמניה)
Asvei︠a︡ (Belarus)	18679	http://geo-kima.org/place/18679	Asvei︠a︡ (Belarus)	אסווי (בלארוס)
Sokalʹ (Ukraine)	18686	http://geo-kima.org/place/18686	Sokalʹ (Ukraine)	סוקאל (אוקראינה)
Polná (Jihomoravský kraj, Czech Republic)	18688	http://geo-kima.org/place/18688	Polná (Jihomoravský kraj, Czech Republic)	פולנה (ז'יומוראבסקי קרא, צ'כיה)
Bohemia (Czech Republic)	1869	http://geo-kima.org/place/1869	Bohemia (Czech Republic)	בוהמיה (צ'כיה)
Karnobat (Bulgaria)	18692	http://geo-kima.org/place/18692	Karnobat (Bulgaria)	קרנובט (בולגריה)
Mitte (Berlin, Germany)	18694	http://geo-kima.org/place/18694	Mitte (Berlin, Germany)	מיטה (ברלין, גרמניה)
Monsey (N.Y.)	187	http://geo-kima.org/place/187	Monsey (N.Y.)	מונסי (ניו יורק)
