placeName as written	Kima_Id	URI	Primary_Latin	Primary_Hebrew
Ulm (Germany)	10347	http://geo-kima.org/place/10347	Ulm (Germany)	אולם (גרמניה)
Glendale (Calif.)	10352	http://geo-kima.org/place/10352	Glendale (Calif.)	גלנדייל (קליפורניה)
Jedwabne (Poland)	10355	http://geo-kima.org/place/10355	Jedwabne (Poland)	ידובנה (פולין)
Altona (Germany)	10369	http://geo-kima.org/place/10369	Altona (Germany)	אלטונה (גרמניה)
Montmorency (France)	10394	http://geo-kima.org/place/10394	Montmorency (France)	מונמורנסי (צרפת)
Slutsk (Belarus)	104	http://geo-kima.org/place/104	Slutsk (Belarus)	סלוצק (בלארוס)
Jever (Germany)	10419	http://geo-kima.org/place/10419	Jever (Germany)	יבר (גרמניה)
Poughkeepsie (N.Y.)	10423	http://geo-kima.org/place/10423	Poughkeepsie (N.Y.)	פוקיפסי (ניו יורק)
Schweinfurt (Germany)	10427	http://geo-kima.org/place/10427	Schweinfurt (Germany)	שוויינפורט (גרמניה)
Bad Kissingen (Germany)	10428	http://geo-kima.org/place/10428	Bad Kissingen (Germany)	באד קיסינגן (גרמניה)
Biebrich (Wiesbaden, Germany)	10438	http://geo-kima.org/place/10438	Biebrich (Wiesbaden, Germany)	ביבריך (ויסבאדן, גרמניה)
Rietavas (Lithuania)	10442	http://geo-kima.org/place/10442	Rietavas (Lithuania)	ריטובה (ליטא)
Lorient (France)	10455	http://geo-kima.org/place/10455	Lorient (France)	לוריין (צרפת)
Blackpool (England)	10456	http://geo-kima.org/place/10456	Blackpool (England)	בלקפול (אנגליה)
Roquebrune-Cap-Martin (France)	10458	http://geo-kima.org/place/10458	Roquebrune-Cap-Martin (France)	רוקואברון-קאפ-מרטין (צרפת)
Karlin (Belarus)	10484	http://geo-kima.org/place/10484	Karlin (Belarus)	קרלין (בלארוס)
Heidelberg (Germany)	10485	http://geo-kima.org/place/10485	Heidelberg (Germany)	היידלברג (גרמניה)
Smorgon (Belarus)	105	http://geo-kima.org/place/105	Smorgon (Belarus)	סמרגון (בלארוס)
Orkney (Scotland)	10501	http://geo-kima.org/place/10501	Orkney (Scotland)	אורקני (סקוטלנד)
Manchester (N.H.)	10515	http://geo-kima.org/place/10515	Manchester (N.H.)	מנצ'סטר (ניו המפשייר)
Poznań (Poland : Voivodeship)	10521	http://geo-kima.org/place/10521	Poznań (Poland : Voivodeship)	פוזנן (פולין : מחוז)
Loire-Atlantique (France)	10529	http://geo-kima.org/place/10529	Loire-Atlantique (France)	לואר-אטלנטי (צרפת)
Iōannina (Greece)	10532	http://geo-kima.org/place/10532	Iōannina (Greece)	ינינה (יוון)
Qingdao (China)	10535	http://geo-kima.org/place/10535	Qingdao (China)	צ'ינגדאו (סין)
Aisne (France)	10538	http://geo-kima.org/place/10538	Aisne (France)	איין (צרפת)
Seine-Saint-Denis (France)	10545	http://geo-kima.org/place/10545	Seine-Saint-Denis (France)	סנס-סן-דני (צרפת)
Dorsten (Germany)	10554	http://geo-kima.org/place/10554	Dorsten (Germany)	דורסטן (גרמניה)
Topol̕čany (Slovakia)	10558	http://geo-kima.org/place/10558	Topol̕čany (Slovakia)	טופולצ'ני (סלובקיה)
Albi (France)	10562	http://geo-kima.org/place/10562	Albi (France)	אלבי (צרפת)
Szerencs (Hungary)	10575	http://geo-kima.org/place/10575	Szerencs (Hungary)	סרנץ' (הונגריה)
Sighetu Marmației (Romania)	10576	http://geo-kima.org/place/10576	Sighetu Marmației (Romania)	סיגטו מרמציי (רומניה)
Surabaya (Indonesia)	10599	http://geo-kima.org/place/10599	Surabaya (Indonesia)	סורביה (אינדונזיה)
Sanok (Poland)	106	http://geo-kima.org/place/106	Sanok (Poland)	סנוק (פולין)
Naraïv (Ukraine)	10603	http://geo-kima.org/place/10603	Naraïv (Ukraine)	נריוב (אוקראינה)
Palestrina (Italy)	10606	http://geo-kima.org/place/10606	Palestrina (Italy)	פלסטרינה (איטליה)
Queens (New York, N.Y.)	10616	http://geo-kima.org/place/10616	Queens (New York, N.Y.)	קווינס (ניו יורק, ניו יורק)
Yorkshire (England)	10624	http://geo-kima.org/place/10624	Yorkshire (England)	יורקשייר (אנגליה)
New Brunswick	10626	http://geo-kima.org/place/10626	New Brunswick	ניו ברונסוויק
Croatia	10638	http://geo-kima.org/place/10638	Croatia	קרואטיה
San Miguel de Tucuman (Argentina)	10644	http://geo-kima.org/place/10644	San Miguel de Tucuman (Argentina)	סן מיגל דה טוקומאן (ארגנטינה)
Cameroon	10651	http://geo-kima.org/place/10651	Cameroon	קמרון
Moravia (Czech Republic)	10660	http://geo-kima.org/place/10660	Moravia (Czech Republic)	מורביה (צ'כיה)
Château-Thierry (France)	10669	http://geo-kima.org/place/10669	Château-Thierry (France)	שטו-טיירי (צרפת)
Venice (Republic : To 1797)	10686	http://geo-kima.org/place/10686	Venice (Republic : To 1797)	ונציה (רפובליקה)
Basses-Alpes (France)	10690	http://geo-kima.org/place/10690	Basses-Alpes (France)	האלפים הנמוכים (צרפת)
Bagnols-sur-Cèze (France)	10691	http://geo-kima.org/place/10691	Bagnols-sur-Cèze (France)	בנולס-סור-סזה (צרפת)
Teaneck (N.J.)	10695	http://geo-kima.org/place/10695	Teaneck (N.J.)	טינק (ניו ג'רזי)
Santa Fe (Argentina)	107	http://geo-kima.org/place/107	Santa Fe (Argentina)	סנטה פה (ארגנטינה)
Twickenham (London, England)	10710	http://geo-kima.org/place/10710	Twickenham (London, England)	טוויקנהאם (לונדון, אנגליה)
Dartford (England)	10712	http://geo-kima.org/place/10712	Dartford (England)	דרטפורד (אנגליה)
Slovenia	10721	http://geo-kima.org/place/10721	Slovenia	סלובניה
Northamptonshire (England)	10734	http://geo-kima.org/place/10734	Northamptonshire (England)	נורת'המפטונשייר (אנגליה)
Bosnia and Hercegovina	10737	http://geo-kima.org/place/10737	Bosnia and Hercegovina	בוסניה והרצגובינה
Kazanʹ (Russia)	10740	http://geo-kima.org/place/10740	Kazanʹ (Russia)	קאזאן (רוסיה)
Narva (Estonia)	10743	http://geo-kima.org/place/10743	Narva (Estonia)	נרבה (אסטוניה)
Zakynthos (Greece)	10746	http://geo-kima.org/place/10746	Zakynthos (Greece)	זקינתוס (יוון)
Vladimir (Vladimirskai︠a︡ oblastʹ, Russia)	10749	http://geo-kima.org/place/10749	Vladimir (Vladimirskai︠a︡ oblastʹ, Russia)	ולדימיר (מחוז ולדימיר, רוסיה)
Portland (Me.)	10750	http://geo-kima.org/place/10750	Portland (Me.)	פורטלנד (מיין)
Shenyang (Liaoning Sheng, China)	10759	http://geo-kima.org/place/10759	Shenyang (Liaoning Sheng, China)	שן-יאנג (מחוז ליאונינג, סין)
Gujarat (India)	10775	http://geo-kima.org/place/10775	Gujarat (India)	גוג'ראט (הודו)
Simla (India)	10778	http://geo-kima.org/place/10778	Simla (India)	סימלה (הודו)
Szombathely (Hungary)	10779	http://geo-kima.org/place/10779	Szombathely (Hungary)	סומבטהי (הונגריה)
Bronx (New York, N.Y.)	10787	http://geo-kima.org/place/10787	Bronx (New York, N.Y.)	ברונקס (ניו יורק, ניו יורק)
Nevelʹ (Russia)	10796	http://geo-kima.org/place/10796	Nevelʹ (Russia)	נבל (רוסיה)
Evansville (Ind.)	10814	http://geo-kima.org/place/10814	Evansville (Ind.)	אוונסוויל (אינדיאנה)
Butte (Mont.)	10815	http://geo-kima.org/place/10815	Butte (Mont.)	ביוט (מונטנה)
Culver City (Calif.)	10823	http://geo-kima.org/place/10823	Culver City (Calif.)	קלבר סיטי (קליפורניה)
Corsica (France)	10826	http://geo-kima.org/place/10826	Corsica (France)	קורסיקה (צרפת)
Shropshire (England)	10827	http://geo-kima.org/place/10827	Shropshire (England)	שרופשייר (אנגליה)
Michelstadt (Germany)	10829	http://geo-kima.org/place/10829	Michelstadt (Germany)	מיכלשטט (גרמניה)
Skierniewice (Poland)	10833	http://geo-kima.org/place/10833	Skierniewice (Poland)	סקרניביץ (פולין)
Coventry (England)	10837	http://geo-kima.org/place/10837	Coventry (England)	קובנטרי (אנגליה)
Serrai (Greece)	10838	http://geo-kima.org/place/10838	Serrai (Greece)	סירס (יוון)
Phoenix (Ariz.)	10849	http://geo-kima.org/place/10849	Phoenix (Ariz.)	פיניקס (אריזונה)
Doylestown (Pa.)	10857	http://geo-kima.org/place/10857	Doylestown (Pa.)	דוילסטאון (פנסילבניה)
Ipswich (England)	10859	http://geo-kima.org/place/10859	Ipswich (England)	איפסוויץ' (אנגליה)
Subiaco (Italy)	10863	http://geo-kima.org/place/10863	Subiaco (Italy)	סוביאקו (איטליה)
Suceava (Romania)	10866	http://geo-kima.org/place/10866	Suceava (Romania)	שוץ (רומניה)
Dalian (Liaoning Sheng, China)	10873	http://geo-kima.org/place/10873	Dalian (Liaoning Sheng, China)	דאליאן (ליאונינג שנג, סין)
Yemen (Republic)	10877	http://geo-kima.org/place/10877	Yemen (Republic)	תימן (רפובליקה)
Tokaj (Hungary)	10881	http://geo-kima.org/place/10881	Tokaj (Hungary)	טוקאי (הונגריה)
Mogi das Cruzes (Brazil)	10882	http://geo-kima.org/place/10882	Mogi das Cruzes (Brazil)	מוז'י דס קרוזס (ברזיל)
Saint Louis (Mo.)	109	http://geo-kima.org/place/109	Saint Louis (Mo.)	סנט לואיס (מיזורי)
Saint-Malo (France)	10906	http://geo-kima.org/place/10906	Saint-Malo (France)	סן-מאלו (צרפת)
Pont-à-Mousson (France)	10909	http://geo-kima.org/place/10909	Pont-à-Mousson (France)	פונט-א-מוסון (צרפת)
Calw (Germany)	10919	http://geo-kima.org/place/10919	Calw (Germany)	קאלוו (גרמניה)
Saint-Tropez (France)	10932	http://geo-kima.org/place/10932	Saint-Tropez (France)	סן טרופה (צרפת)
Carcassonne (France)	10934	http://geo-kima.org/place/10934	Carcassonne (France)	קרקסון (צרפת)
Cherkasy (Ukraine)	10937	http://geo-kima.org/place/10937	Cherkasy (Ukraine)	צ'רקאסי (אוקראינה)
St. John's (N.L.)	10938	http://geo-kima.org/place/10938	St. John's (N.L.)	סנט ג'ונ'ס (ניופאונדלנד)
Sontheim (Heilbronn, Germany)	10943	http://geo-kima.org/place/10943	Sontheim (Heilbronn, Germany)	סונטהיים (היילברון, גרמניה)
Córdoba (Spain)	10948	http://geo-kima.org/place/10948	Córdoba (Spain)	קורדובה (ספרד)
Okayama-ken (Japan)	10949	http://geo-kima.org/place/10949	Okayama-ken (Japan)	אוקאיאמה-קן (יפן)
Cambrai (France)	10954	http://geo-kima.org/place/10954	Cambrai (France)	קמברה
Vence (France)	10955	http://geo-kima.org/place/10955	Vence (France)	ואנס (צרפת)
Medina (Saudi Arabia)	10956	http://geo-kima.org/place/10956	Medina (Saudi Arabia)	מדינה (ערב הסעודית)
Dachau (Germany)	10958	http://geo-kima.org/place/10958	Dachau (Germany)	דכאו (גרמניה)
Mykolaïv (Mykolaïvsʹka oblastʹ, Ukraine)	10962	http://geo-kima.org/place/10962	Mykolaïv (Mykolaïvsʹka oblastʹ, Ukraine)	מיקולייב (מחוז מיקולייב, אוקראינה)
Homelʹ (Belarus)	10963	http://geo-kima.org/place/10963	Homelʹ (Belarus)	הומל (בלארוס)
Mahili︠o︡ŭ (Belarus)	10965	http://geo-kima.org/place/10965	Mahili︠o︡ŭ (Belarus)	מוהילב (בלארוס)
Lombardy (Italy)	10968	http://geo-kima.org/place/10968	Lombardy (Italy)	לומברדיה (איטליה)
Bethlehem (Pa.)	10969	http://geo-kima.org/place/10969	Bethlehem (Pa.)	בית לחם (פנסילבניה)
Portsmouth (Va.)	10978	http://geo-kima.org/place/10978	Portsmouth (Va.)	פורטסמות (וירג'יניה)
Guildford (England)	10984	http://geo-kima.org/place/10984	Guildford (England)	גילדפורד (אנגליה)
Leominster (Mass.)	11009	http://geo-kima.org/place/11009	Leominster (Mass.)	למנסטר (מסצ'וסטס)
Cambridge (Md.)	11012	http://geo-kima.org/place/11012	Cambridge (Md.)	קמברידג' (מרילנד)
Antibes (France)	11013	http://geo-kima.org/place/11013	Antibes (France)	אנטיב (צרפת)
Muskogee (Okla.)	11018	http://geo-kima.org/place/11018	Muskogee (Okla.)	מוסקוגי (אוקלהומה)
Holyoke (Mass.)	11019	http://geo-kima.org/place/11019	Holyoke (Mass.)	הוליוק (מסצ'וסטס)
Rockport (Mass.)	11021	http://geo-kima.org/place/11021	Rockport (Mass.)	רוקפורט (מסצ'וסטס)
Wodzisław (Poland)	11026	http://geo-kima.org/place/11026	Wodzisław (Poland)	וודז'יסלאב (פולין)
Sędziszów (Poland)	11027	http://geo-kima.org/place/11027	Sędziszów (Poland)	סאנדזישוב (פולין)
Hot Springs (Ark.)	11029	http://geo-kima.org/place/11029	Hot Springs (Ark.)	הוט ספרינגס (אריזונה)
Jiujiang (Jiangxi Sheng, China)	11033	http://geo-kima.org/place/11033	Jiujiang (Jiangxi Sheng, China)	ג'יוג'יאנג (מחוז ג'יאנגשי, סין)
Easthampton (Mass.)	11034	http://geo-kima.org/place/11034	Easthampton (Mass.)	איסטהמפטון (מסצ'וסטס)
Selsey (West Sussex, England)	11041	http://geo-kima.org/place/11041	Selsey (West Sussex, England)	סלסי (מערב סאסקס, אנגליה)
Sharon (Mass.)	11045	http://geo-kima.org/place/11045	Sharon (Mass.)	שרון (מסצ'וסטס)
Tenterden (England)	11053	http://geo-kima.org/place/11053	Tenterden (England)	טנטרדן (אנגליה)
Maidstone (England)	11059	http://geo-kima.org/place/11059	Maidstone (England)	מיידסטון (אנגליה)
Dynów (Poland)	11063	http://geo-kima.org/place/11063	Dynów (Poland)	דינוב (פולין)
Swansea (Wales)	11065	http://geo-kima.org/place/11065	Swansea (Wales)	סוונסי (ויילס)
Salisbury (England)	11078	http://geo-kima.org/place/11078	Salisbury (England)	סולסברי (אנגליה)
Liestal (Switzerland)	11086	http://geo-kima.org/place/11086	Liestal (Switzerland)	ליסטל (שווייץ)
Novosibirsk (Russia)	11090	http://geo-kima.org/place/11090	Novosibirsk (Russia)	נובוסיבירסק (רוסיה)
Terebovli︠a︡ (Ukraine)	11092	http://geo-kima.org/place/11092	Terebovli︠a︡ (Ukraine)	טרמבובלה (אוקראינה)
Zboriv (Ukraine)	11093	http://geo-kima.org/place/11093	Zboriv (Ukraine)	זבורוב (אוקראינה)
